"run number","GN","AF","Reach"
"1","141.06","121.25","154.31"
"2","100.56","190.57","237.29"
"3","101.12","97.88","106.37"
"4","118.77","108.29","131.74"
"5","107.44","138.81","96.30"
"6","119.77","121.25","110.25"
