"run number","GN","AF","Reach"
"1","1712.65","766.37","741.52"
"2","814.31","786.47","792.43"
"3","2439.65","1892.22","1319.20"
"4", "814.98", "769.33", "758.68"
"5", "783.14", "758.94", "800.79"
