"run number","GN","AF","Reach"
"1","386.44","359.09","426.40"
"2","448.91","401.07","664.80"
"3","376.66","386.30","412.38"
"4", "432.73", "446.41", "406.34"
"5", "407.56", "398.53", "434.53"
