"run number","GN","AF","Reach"
"1","3.99","3.94","3.91"
"2","4.14","3.98","119.06"
"3","3.98","4.06","3.93"
"4","4.07","4.04","3.91"
"5","4.04","3.94","102.57"
"6","3.98","3.88","134.33"
