"run number","GN","AF","Reach"
"1","215.08","174.19","183.69"
"2","196.03","187.00","191.93"
"3","186.65","177.30","193.50"
"4","205.01","201.28","215.86"
"5", "205.11", "255.37", "197.12"
"6", "197.88", "194.27", "198.32"
