"run number","GN","AF","Reach"
"1","215.18","204.29","196.23"
"2","200.95","214.53","344.24"
"3","203.06","196.40","200.28"
"4","235.42","238.41","231.53"
"5","214.77","198.58","204.56"
"6","233.38","243.40","218.27"
"7", "206.41", "197.36", "198.44"
