"run number","GN","AF","Reach"
"1","20000","29000","11000"
"2","16000","14000","16000"
"3","21000","18000","24000"
"4","19000","22000","15000"
"5","32000","19000","14000"
"6","17000","19000","9000"
"7","26000","15000","8000"
"8","12000","17000","19000"
"9","25000","18000","10000"
"10","24000","17000","17000"
